"time","n.risk","n.event","n.censor","surv","std.err","upper","lower","Management","Climate","cum_rec","cum_rec_lower","cum_rec_upper"
17,20,1,0,0.95,0.0512989176042577,1,0.85912802773588,"ADAPTATION",NA,0.05,0,0.14087197226412
20,19,4,0,0.75,0.129099444873581,0.96594168887457,0.582333288312025,"ADAPTATION",NA,0.25,0.0340583111254296,0.417666711687975
22,15,2,0,0.65,0.164082530828473,0.896562686153282,0.47124423816113,"ADAPTATION",NA,0.35,0.103437313846718,0.52875576183887
23,13,3,0,0.5,0.223606797749979,0.775004913017353,0.322578600213857,"ADAPTATION",NA,0.5,0.224995086982647,0.677421399786142
25,10,1,0,0.45,0.247206616236522,0.730525141420864,0.27719785195365,"ADAPTATION",NA,0.55,0.269474858579136,0.72280214804635
26,9,4,0,0.25,0.387298334620742,0.534083238947473,0.117022957176432,"ADAPTATION",NA,0.75,0.465916761052527,0.882977042823568
50,5,0,5,0.25,0.387298334620742,0.534083238947473,0.117022957176432,"ADAPTATION",NA,0.75,0.465916761052527,0.882977042823568
15,20,2,0,0.9,0.074535599249993,1,0.777674202195885,"ADAPTATION",NA,0.1,0,0.222325797804115
16,18,2,0,0.8,0.111803398874989,0.995995124818496,0.642573426367553,"ADAPTATION",NA,0.2,0.00400487518150416,0.357426573632447
17,16,1,0,0.75,0.129099444873581,0.96594168887457,0.582333288312025,"ADAPTATION",NA,0.25,0.0340583111254297,0.417666711687975
20,15,1,0,0.7,0.14638501094228,0.93261240365554,0.525405836421816,"ADAPTATION",NA,0.3,0.0673875963444596,0.474594163578184
21,14,2,0,0.6,0.182574185835055,0.858141053469828,0.419511452743541,"ADAPTATION",NA,0.4,0.141858946530172,0.580488547256459
22,12,1,0,0.55,0.202259958738973,0.817573259537505,0.369997424048729,"ADAPTATION",NA,0.45,0.182426740462495,0.630002575951271
23,11,2,0,0.45,0.247206616236522,0.730525141420864,0.27719785195365,"ADAPTATION",NA,0.55,0.269474858579136,0.72280214804635
24,9,3,0,0.3,0.341565025531987,0.585951852409313,0.15359623769417,"ADAPTATION",NA,0.7,0.414048147590687,0.84640376230583
25,6,6,0,0,Inf,NA,NA,"ADAPTATION",NA,1,NA,NA
23,5,2,0,0.6,0.365148371670111,1,0.293316431638326,"ADAPTATION","refclim",0.4,0,0.706683568361674
29,3,2,0,0.2,0.894427190999916,1,0.0346491185068608,"ADAPTATION","refclim",0.8,0,0.965350881493139
30,1,1,0,0,Inf,NA,NA,"ADAPTATION","refclim",1,NA,NA
23,20,1,0,0.95,0.0512989176042577,1,0.85912802773588,"BAU",NA,0.05,0,0.14087197226412
25,19,2,0,0.85,0.0939336436627724,1,0.707070084899528,"BAU",NA,0.15,0,0.292929915100472
26,17,3,0,0.7,0.14638501094228,0.93261240365554,0.525405836421816,"BAU",NA,0.3,0.0673875963444596,0.474594163578184
28,14,1,0,0.65,0.164082530828473,0.896562686153282,0.47124423816113,"BAU",NA,0.35,0.103437313846718,0.52875576183887
32,13,1,0,0.6,0.182574185835055,0.858141053469829,0.419511452743541,"BAU",NA,0.4,0.141858946530171,0.580488547256459
33,12,2,0,0.5,0.223606797749979,0.775004913017353,0.322578600213858,"BAU",NA,0.5,0.224995086982647,0.677421399786142
44,10,1,0,0.45,0.247206616236522,0.730525141420864,0.27719785195365,"BAU",NA,0.55,0.269474858579136,0.72280214804635
46,9,4,0,0.25,0.387298334620742,0.534083238947473,0.117022957176432,"BAU",NA,0.75,0.465916761052527,0.882977042823568
50,5,0,5,0.25,0.387298334620742,0.534083238947473,0.117022957176432,"BAU",NA,0.75,0.465916761052527,0.882977042823568
23,20,1,0,0.95,0.0512989176042577,1,0.85912802773588,"BAU",NA,0.05,0,0.14087197226412
24,19,1,0,0.9,0.074535599249993,1,0.777674202195885,"BAU",NA,0.1,0,0.222325797804115
25,18,4,0,0.7,0.14638501094228,0.93261240365554,0.525405836421816,"BAU",NA,0.3,0.0673875963444596,0.474594163578184
26,14,4,0,0.5,0.223606797749979,0.775004913017353,0.322578600213857,"BAU",NA,0.5,0.224995086982647,0.677421399786142
27,10,5,0,0.25,0.387298334620742,0.534083238947473,0.117022957176432,"BAU",NA,0.75,0.465916761052527,0.882977042823568
30,5,3,0,0.1,0.670820393249937,0.37239458215941,0.0268532370745376,"BAU",NA,0.9,0.62760541784059,0.973146762925462
31,2,2,0,0,Inf,NA,NA,"BAU",NA,1,NA,NA
23,5,2,0,0.6,0.365148371670111,1,0.293316431638326,"BAU","refclim",0.4,0,0.706683568361674
24,3,1,0,0.4,0.547722557505166,1,0.136721780389051,"BAU","refclim",0.6,0,0.863278219610949
26,2,1,0,0.2,0.894427190999916,1,0.0346491185068608,"BAU","refclim",0.8,0,0.965350881493139
28,1,1,0,0,Inf,NA,NA,"BAU","refclim",1,NA,NA
20,20,3,0,0.85,0.0939336436627724,1,0.707070084899528,"BIOECONOMY",NA,0.15,0,0.292929915100472
22,17,1,0,0.8,0.111803398874989,0.995995124818496,0.642573426367553,"BIOECONOMY",NA,0.2,0.00400487518150416,0.357426573632447
23,16,4,0,0.6,0.182574185835055,0.858141053469828,0.419511452743541,"BIOECONOMY",NA,0.4,0.141858946530172,0.580488547256459
26,12,5,0,0.35,0.304724700110022,0.635989842244482,0.192613139177952,"BIOECONOMY",NA,0.65,0.364010157755518,0.807386860822048
46,7,1,0,0.3,0.341565025531987,0.585951852409313,0.15359623769417,"BIOECONOMY",NA,0.7,0.414048147590687,0.84640376230583
49,6,1,0,0.25,0.387298334620742,0.534083238947473,0.117022957176432,"BIOECONOMY",NA,0.75,0.465916761052527,0.882977042823568
50,5,0,5,0.25,0.387298334620742,0.534083238947473,0.117022957176432,"BIOECONOMY",NA,0.75,0.465916761052527,0.882977042823568
15,20,1,0,0.95,0.0512989176042577,1,0.85912802773588,"BIOECONOMY",NA,0.05,0,0.14087197226412
16,19,2,0,0.85,0.0939336436627724,1,0.707070084899528,"BIOECONOMY",NA,0.15,0,0.292929915100472
17,17,2,0,0.75,0.129099444873581,0.96594168887457,0.582333288312025,"BIOECONOMY",NA,0.25,0.0340583111254296,0.417666711687975
23,15,4,0,0.55,0.202259958738973,0.817573259537505,0.369997424048729,"BIOECONOMY",NA,0.45,0.182426740462495,0.630002575951271
24,11,3,0,0.4,0.273861278752583,0.684181196854777,0.233856178356742,"BIOECONOMY",NA,0.6,0.315818803145223,0.766143821643258
25,8,8,0,0,Inf,NA,NA,"BIOECONOMY",NA,1,NA,NA
23,5,5,0,0,Inf,NA,NA,"BIOECONOMY","refclim",1,NA,NA
23,20,1,0,0.95,0.0512989176042577,1,0.85912802773588,"CONSERVATION",NA,0.05,0,0.14087197226412
26,19,2,0,0.85,0.0939336436627724,1,0.707070084899528,"CONSERVATION",NA,0.15,0,0.292929915100472
28,17,1,0,0.8,0.111803398874989,0.995995124818496,0.642573426367553,"CONSERVATION",NA,0.2,0.00400487518150416,0.357426573632447
32,16,3,0,0.65,0.164082530828473,0.896562686153282,0.47124423816113,"CONSERVATION",NA,0.35,0.103437313846718,0.52875576183887
33,13,2,0,0.55,0.202259958738973,0.817573259537505,0.369997424048729,"CONSERVATION",NA,0.45,0.182426740462495,0.630002575951271
34,11,1,0,0.5,0.223606797749979,0.775004913017353,0.322578600213857,"CONSERVATION",NA,0.5,0.224995086982647,0.677421399786142
35,10,1,0,0.45,0.247206616236522,0.730525141420864,0.27719785195365,"CONSERVATION",NA,0.55,0.269474858579136,0.72280214804635
46,9,1,0,0.4,0.273861278752583,0.684181196854777,0.233856178356742,"CONSERVATION",NA,0.6,0.315818803145223,0.766143821643258
47,8,1,0,0.35,0.304724700110022,0.635989842244481,0.192613139177952,"CONSERVATION",NA,0.65,0.364010157755519,0.807386860822048
49,7,1,0,0.3,0.341565025531987,0.585951852409313,0.15359623769417,"CONSERVATION",NA,0.7,0.414048147590687,0.84640376230583
50,6,0,6,0.3,0.341565025531987,0.585951852409313,0.15359623769417,"CONSERVATION",NA,0.7,0.414048147590687,0.84640376230583
17,20,2,0,0.9,0.074535599249993,1,0.777674202195885,"CONSERVATION",NA,0.1,0,0.222325797804115
23,18,1,0,0.85,0.0939336436627724,1,0.707070084899528,"CONSERVATION",NA,0.15,0,0.292929915100472
24,17,1,0,0.8,0.111803398874989,0.995995124818496,0.642573426367553,"CONSERVATION",NA,0.2,0.00400487518150416,0.357426573632447
25,16,3,0,0.65,0.164082530828473,0.896562686153282,0.47124423816113,"CONSERVATION",NA,0.35,0.103437313846718,0.52875576183887
26,13,3,0,0.5,0.223606797749979,0.775004913017353,0.322578600213857,"CONSERVATION",NA,0.5,0.224995086982647,0.677421399786142
27,10,1,0,0.45,0.247206616236522,0.730525141420864,0.27719785195365,"CONSERVATION",NA,0.55,0.269474858579136,0.72280214804635
28,9,3,0,0.3,0.341565025531987,0.585951852409313,0.15359623769417,"CONSERVATION",NA,0.7,0.414048147590687,0.84640376230583
29,6,2,0,0.2,0.447213595499958,0.480506092160827,0.0832455626527454,"CONSERVATION",NA,0.8,0.519493907839173,0.916754437347255
30,4,2,0,0.1,0.670820393249937,0.37239458215941,0.0268532370745376,"CONSERVATION",NA,0.9,0.62760541784059,0.973146762925462
31,2,2,0,0,Inf,NA,NA,"CONSERVATION",NA,1,NA,NA
29,5,1,0,0.8,0.223606797749979,1,0.516125760342172,"CONSERVATION","refclim",0.2,0,0.483874239657828
30,4,1,0,0.6,0.365148371670111,1,0.293316431638326,"CONSERVATION","refclim",0.4,0,0.706683568361674
34,3,2,0,0.2,0.894427190999916,1,0.0346491185068608,"CONSERVATION","refclim",0.8,0,0.965350881493139
35,1,1,0,0,Inf,NA,NA,"CONSERVATION","refclim",1,NA,NA
23,20,1,0,0.95,0.0512989176042577,1,0.85912802773588,"UNMANAGED",NA,0.05,0,0.14087197226412
25,19,1,0,0.9,0.074535599249993,1,0.777674202195885,"UNMANAGED",NA,0.1,0,0.222325797804115
26,18,1,0,0.85,0.0939336436627724,1,0.707070084899528,"UNMANAGED",NA,0.15,0,0.292929915100472
27,17,2,0,0.75,0.129099444873581,0.96594168887457,0.582333288312025,"UNMANAGED",NA,0.25,0.0340583111254297,0.417666711687975
32,15,2,0,0.65,0.164082530828473,0.896562686153282,0.47124423816113,"UNMANAGED",NA,0.35,0.103437313846718,0.52875576183887
33,13,2,0,0.55,0.202259958738973,0.817573259537505,0.369997424048729,"UNMANAGED",NA,0.45,0.182426740462495,0.630002575951271
35,11,1,0,0.5,0.223606797749979,0.775004913017353,0.322578600213857,"UNMANAGED",NA,0.5,0.224995086982647,0.677421399786142
42,10,1,0,0.45,0.247206616236522,0.730525141420864,0.27719785195365,"UNMANAGED",NA,0.55,0.269474858579136,0.72280214804635
46,9,2,0,0.35,0.304724700110022,0.635989842244481,0.192613139177952,"UNMANAGED",NA,0.65,0.364010157755519,0.807386860822048
49,7,1,0,0.3,0.341565025531987,0.585951852409313,0.15359623769417,"UNMANAGED",NA,0.7,0.414048147590687,0.84640376230583
50,6,0,6,0.3,0.341565025531987,0.585951852409313,0.15359623769417,"UNMANAGED",NA,0.7,0.414048147590687,0.84640376230583
16,20,2,0,0.9,0.074535599249993,1,0.777674202195885,"UNMANAGED",NA,0.1,0,0.222325797804115
17,18,1,0,0.85,0.0939336436627724,1,0.707070084899528,"UNMANAGED",NA,0.15,0,0.292929915100472
23,17,1,0,0.8,0.111803398874989,0.995995124818496,0.642573426367553,"UNMANAGED",NA,0.2,0.00400487518150416,0.357426573632447
25,16,5,0,0.55,0.202259958738973,0.817573259537505,0.369997424048729,"UNMANAGED",NA,0.45,0.182426740462495,0.630002575951271
26,11,1,0,0.5,0.223606797749979,0.775004913017353,0.322578600213857,"UNMANAGED",NA,0.5,0.224995086982647,0.677421399786142
27,10,2,0,0.4,0.273861278752583,0.684181196854777,0.233856178356742,"UNMANAGED",NA,0.6,0.315818803145223,0.766143821643258
28,8,2,0,0.3,0.341565025531987,0.585951852409313,0.15359623769417,"UNMANAGED",NA,0.7,0.414048147590687,0.84640376230583
29,6,1,0,0.25,0.387298334620742,0.534083238947473,0.117022957176432,"UNMANAGED",NA,0.75,0.465916761052527,0.882977042823568
30,5,3,0,0.1,0.670820393249937,0.37239458215941,0.0268532370745376,"UNMANAGED",NA,0.9,0.62760541784059,0.973146762925462
31,2,1,0,0.05,0.974679434480896,0.337768109506405,0.00740152764467125,"UNMANAGED",NA,0.95,0.662231890493595,0.992598472355329
32,1,1,0,0,Inf,NA,NA,"UNMANAGED",NA,1,NA,NA
32,5,1,0,0.8,0.223606797749979,1,0.516125760342172,"UNMANAGED","refclim",0.2,0,0.483874239657828
33,4,1,0,0.6,0.365148371670111,1,0.293316431638326,"UNMANAGED","refclim",0.4,0,0.706683568361674
34,3,1,0,0.4,0.547722557505166,1,0.136721780389051,"UNMANAGED","refclim",0.6,0,0.863278219610949
35,2,1,0,0.2,0.894427190999916,1,0.0346491185068608,"UNMANAGED","refclim",0.8,0,0.965350881493139
38,1,1,0,0,Inf,NA,NA,"UNMANAGED","refclim",1,NA,NA
